,Sex,Age,SibSp,Parch,Fare,has_cabin?,2,3,Q,S
469,1,0.75,2,1,19.2583,0,0,1,0,0
564,1,29.69911764705882,0,0,8.05,0,0,1,0,1
774,1,54.0,1,3,23.0,0,1,0,0,1
461,0,34.0,0,0,8.05,0,0,1,0,1
253,0,30.0,1,0,16.1,0,0,1,0,1
771,0,48.0,0,0,7.8542,0,0,1,0,1
369,1,24.0,0,0,69.3,1,0,0,0,0
321,0,27.0,0,0,7.8958,0,0,1,0,1
695,0,52.0,0,0,13.5,0,1,0,0,1
151,1,22.0,1,0,66.6,1,0,0,0,1
849,1,29.69911764705882,1,0,89.1042,1,0,0,0,0
302,0,19.0,0,0,0.0,0,0,1,0,1
190,1,32.0,0,0,13.0,0,1,0,0,1
586,0,47.0,0,0,15.0,0,1,0,0,1
348,0,3.0,1,1,15.9,0,0,1,0,1
243,0,22.0,0,0,7.125,0,0,1,0,1
793,0,29.69911764705882,0,0,30.6958,0,0,0,0,0
87,0,29.69911764705882,0,0,8.05,0,0,1,0,1
751,0,6.0,0,1,12.475,1,0,1,0,1
655,0,24.0,2,0,73.5,0,1,0,0,1
812,0,35.0,0,0,10.5,0,1,0,0,1
778,0,29.69911764705882,0,0,7.7375,0,0,1,1,0
418,0,30.0,0,0,13.0,0,1,0,0,1
288,0,42.0,0,0,13.0,0,1,0,0,1
648,0,29.69911764705882,0,0,7.55,0,0,1,0,1
166,1,29.69911764705882,0,1,55.0,1,0,0,0,1
595,0,36.0,1,1,24.15,0,0,1,0,1
838,0,32.0,0,0,56.4958,0,0,1,0,1
155,0,51.0,0,1,61.3792,0,0,0,0,0
356,1,22.0,0,1,55.0,1,0,0,0,1
381,1,1.0,0,2,15.7417,0,0,1,0,0
279,1,35.0,1,1,20.25,0,0,1,0,1
126,0,29.69911764705882,0,0,7.75,0,0,1,1,0
707,0,42.0,0,0,26.2875,1,0,0,0,1
777,1,5.0,0,0,12.475,0,0,1,0,1
22,1,15.0,0,0,8.0292,0,0,1,1,0
616,0,34.0,1,1,14.4,0,0,1,0,1
665,0,32.0,2,0,73.5,0,1,0,0,1
282,0,16.0,0,0,9.5,0,0,1,0,1
471,0,38.0,0,0,8.6625,0,0,1,0,1
738,0,29.69911764705882,0,0,7.8958,0,0,1,0,1
367,1,29.69911764705882,0,0,7.2292,0,0,1,0,0
25,1,38.0,1,5,31.3875,0,0,1,0,1
196,0,29.69911764705882,0,0,7.75,0,0,1,1,0
64,0,29.69911764705882,0,0,27.7208,0,0,0,0,0
15,1,55.0,0,0,16.0,0,1,0,0,1
466,0,29.69911764705882,0,0,0.0,0,1,0,0,1
297,1,2.0,1,2,151.55,1,0,0,0,1
621,0,42.0,1,0,52.5542,1,0,0,0,1
336,0,29.0,1,0,66.6,1,0,0,0,1
820,1,52.0,1,1,93.5,1,0,0,0,1
26,0,29.69911764705882,0,0,7.225,0,0,1,0,0
588,0,22.0,0,0,8.05,0,0,1,0,1
43,1,3.0,1,2,41.5792,0,1,0,0,0
497,0,29.69911764705882,0,0,15.1,0,0,1,0,1
792,1,29.69911764705882,8,2,69.55,0,0,1,0,1
515,0,47.0,0,0,34.0208,1,0,0,0,1
854,1,44.0,1,0,26.0,0,1,0,0,1
561,0,40.0,0,0,7.8958,0,0,1,0,1
454,0,29.69911764705882,0,0,8.05,0,0,1,0,1
387,1,36.0,0,0,13.0,0,1,0,0,1
71,1,16.0,5,2,46.9,0,0,1,0,1
542,1,11.0,4,2,31.275,0,0,1,0,1
456,0,65.0,0,0,26.55,1,0,0,0,1
633,0,29.69911764705882,0,0,0.0,0,0,0,0,1
431,1,29.69911764705882,1,0,16.1,0,0,1,0,1
627,1,21.0,0,0,77.9583,1,0,0,0,1
653,1,29.69911764705882,0,0,7.8292,0,0,1,1,0
728,0,25.0,1,0,26.0,0,1,0,0,1
264,1,29.69911764705882,0,0,7.75,0,0,1,1,0
209,0,40.0,0,0,31.0,1,0,0,0,0
316,1,24.0,1,0,26.0,0,1,0,0,1
513,1,54.0,1,0,59.4,0,0,0,0,0
313,0,28.0,0,0,7.8958,0,0,1,0,1
534,1,30.0,0,0,8.6625,0,0,1,0,1
829,1,62.0,0,0,80.0,1,0,0,0,0
319,1,40.0,1,1,134.5,1,0,0,0,0
7,0,2.0,3,1,21.075,0,0,1,0,1
393,1,23.0,1,0,113.275,1,0,0,0,0
141,1,22.0,0,0,7.75,0,0,1,0,1
86,0,16.0,1,3,34.375,0,0,1,0,1
478,0,22.0,0,0,7.5208,0,0,1,0,1
503,1,37.0,0,0,9.5875,0,0,1,0,1
753,0,23.0,0,0,7.8958,0,0,1,0,1
215,1,31.0,1,0,113.275,1,0,0,0,0
580,1,25.0,1,1,30.0,0,1,0,0,1
562,0,28.0,0,0,13.5,0,1,0,0,1
398,0,23.0,0,0,10.5,0,1,0,0,1
668,0,43.0,0,0,8.05,0,0,1,0,1
490,0,29.69911764705882,1,0,19.9667,0,0,1,0,1
252,0,62.0,0,0,26.55,1,0,0,0,1
468,0,29.69911764705882,0,0,7.725,0,0,1,1,0
357,1,38.0,0,0,13.0,0,1,0,0,1
254,1,41.0,0,2,20.2125,0,0,1,0,1
276,1,45.0,0,0,7.75,0,0,1,0,1
178,0,30.0,0,0,13.0,0,1,0,0,1
281,0,28.0,0,0,7.8542,0,0,1,0,1
390,0,36.0,1,2,120.0,1,0,0,0,1
508,0,28.0,0,0,22.525,0,0,1,0,1
749,0,31.0,0,0,7.75,0,0,1,1,0
583,0,36.0,0,0,40.125,1,0,0,0,0
129,0,45.0,0,0,6.975,0,0,1,0,1
144,0,18.0,0,0,11.5,0,1,0,0,1
847,0,35.0,0,0,7.8958,0,0,1,0,0
645,0,48.0,1,0,76.7292,1,0,0,0,0
715,0,19.0,0,0,7.65,1,0,1,0,1
767,1,30.5,0,0,7.75,0,0,1,1,0
72,0,21.0,0,0,73.5,0,1,0,0,1
235,1,29.69911764705882,0,0,7.55,0,0,1,0,1
37,0,21.0,0,0,8.05,0,0,1,0,1
